strategy,k,n_components,largest_component_share,reachable_from_seed,reachable_flow_share
без изъятия,0,16.0,0.842,2167.0,1.0
топ по priority,5,18.0,0.83,2140.0,0.968
топ по числу связей,5,59.0,0.743,1659.0,0.812
случайные (среднее),5,16.4,0.839,2148.8,0.994
топ по priority,10,27.0,0.807,2080.0,0.942
топ по числу связей,10,107.0,0.641,1273.0,0.644
случайные (среднее),10,17.0,0.834,2147.2,0.99
топ по priority,20,72.0,0.695,1654.0,0.744
топ по числу связей,20,135.0,0.533,665.0,0.369
случайные (среднее),20,19.2,0.825,2116.3,0.972
топ по priority,50,158.0,0.468,645.0,0.319
топ по числу связей,50,212.0,0.278,212.0,0.176
случайные (среднее),50,20.0,0.808,2077.6,0.959
