gid,request,reason,priority_score,role
100000003115284100,межбанковские переводы и снятие наличных,получил 2.2 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.8416,consolidator
100000004015047100,межбанковские переводы и снятие наличных,получил 919 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.7954,consolidator
100000008165763100,входящие переводы от клиентов вне выборки,"отправил на 102 тыс больше, чем получил по данным — источник не виден",0.7849,coordinator
100000004070318100,входящие переводы от клиентов вне выборки,"отправил на 345 тыс больше, чем получил по данным — источник не виден",0.7782,distributor
100000008686313100,межбанковские переводы и снятие наличных,получил 1.9 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.7571,consolidator
100000008346837100,входящие переводы от клиентов вне выборки,"отправил на 1.0 млн больше, чем получил по данным — источник не виден",0.7563,coordinator
100000008304139100,входящие переводы от клиентов вне выборки,"отправил на 1.5 млн больше, чем получил по данным — источник не виден",0.7451,distributor
100000004156082100,входящие переводы от клиентов вне выборки,"отправил на 1.9 млн больше, чем получил по данным — источник не виден",0.7418,distributor
100000004351795100,входящие переводы от клиентов вне выборки,"отправил на 1.6 млн больше, чем получил по данным — источник не виден",0.7331,distributor
100000004299488100,межбанковские переводы и снятие наличных,получил 1.7 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.7269,consolidator
100000008603629100,входящие переводы от клиентов вне выборки,"отправил на 3.2 млн больше, чем получил по данным — источник не виден",0.7235,distributor
100000000331309100,входящие переводы от клиентов вне выборки,"отправил на 22.0 млн больше, чем получил по данным — источник не виден",0.719,distributor
100000002838861100,межбанковские переводы и снятие наличных,получил 555 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.7074,consolidator
100000004847758100,входящие переводы от клиентов вне выборки,"отправил на 374 тыс больше, чем получил по данным — источник не виден",0.7032,distributor
100000007055802100,межбанковские переводы и снятие наличных,получил 2.0 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.701,consolidator
100000007639767100,входящие переводы от клиентов вне выборки,"отправил на 731 тыс больше, чем получил по данным — источник не виден",0.699,distributor
100000001697501100,входящие переводы от клиентов вне выборки,"отправил на 1.4 млн больше, чем получил по данным — источник не виден",0.6975,distributor
100000001530983100,входящие переводы от клиентов вне выборки,"отправил на 1.3 млн больше, чем получил по данным — источник не виден",0.6968,distributor
100000000437046100,входящие переводы от клиентов вне выборки,"отправил на 6.5 млн больше, чем получил по данным — источник не виден",0.6884,distributor
100000005910114100,входящие переводы от клиентов вне выборки,"отправил на 1.1 млн больше, чем получил по данным — источник не виден",0.686,distributor
100000008477350100,входящие переводы от клиентов вне выборки,"отправил на 2.8 млн больше, чем получил по данным — источник не виден",0.6839,distributor
100000004400305100,входящие переводы от клиентов вне выборки,"отправил на 5.6 млн больше, чем получил по данным — источник не виден",0.6838,distributor
100000008560717100,межбанковские переводы и снятие наличных,получил 529 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.6786,consolidator
100000008748914100,входящие переводы от клиентов вне выборки,"отправил на 4.3 млн больше, чем получил по данным — источник не виден",0.6775,distributor
100000007442518100,входящие переводы от клиентов вне выборки,"отправил на 3.9 млн больше, чем получил по данным — источник не виден",0.6771,transit
100000004759121100,межбанковские переводы и снятие наличных,получил 710 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.6492,consolidator
100000002398779100,межбанковские переводы и снятие наличных,получил 1.1 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.6449,consolidator
100000002723538100,входящие переводы от клиентов вне выборки,"отправил на 455 тыс больше, чем получил по данным — источник не виден",0.6356,distributor
100000002894076100,межбанковские переводы и снятие наличных,получил 1.1 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.6276,terminal
100000008512552100,входящие переводы от клиентов вне выборки,"отправил на 908 тыс больше, чем получил по данным — источник не виден",0.6211,transit
100000002224132100,входящие переводы от клиентов вне выборки,"отправил на 8.2 млн больше, чем получил по данным — источник не виден",0.6203,transit
100000005933757100,входящие переводы от клиентов вне выборки,"отправил на 1.8 млн больше, чем получил по данным — источник не виден",0.6201,distributor
100000004160650100,входящие переводы от клиентов вне выборки,"отправил на 1.4 млн больше, чем получил по данным — источник не виден",0.6184,distributor
100000008489922100,входящие переводы от клиентов вне выборки,"отправил на 3.5 млн больше, чем получил по данным — источник не виден",0.6159,distributor
100000003589877100,входящие переводы от клиентов вне выборки,"отправил на 240 тыс больше, чем получил по данным — источник не виден",0.6152,transit
100000008547948100,входящие переводы от клиентов вне выборки,"отправил на 5.0 млн больше, чем получил по данным — источник не виден",0.6137,distributor
100000006707582100,входящие переводы от клиентов вне выборки,"отправил на 922 тыс больше, чем получил по данным — источник не виден",0.6115,distributor
100000003923946100,входящие переводы от клиентов вне выборки,"отправил на 393 тыс больше, чем получил по данным — источник не виден",0.6095,transit
100000005704413100,входящие переводы от клиентов вне выборки,"отправил на 1.3 млн больше, чем получил по данным — источник не виден",0.607,distributor
100000002578405100,входящие переводы от клиентов вне выборки,"отправил на 1.9 млн больше, чем получил по данным — источник не виден",0.6025,distributor
100000002957787100,входящие переводы от клиентов вне выборки,"отправил на 1.2 млн больше, чем получил по данным — источник не виден",0.5989,distributor
100000003242289100,входящие переводы от клиентов вне выборки,"отправил на 1.8 млн больше, чем получил по данным — источник не виден",0.5985,distributor
100000008748408100,входящие переводы от клиентов вне выборки,"отправил на 1.1 млн больше, чем получил по данным — источник не виден",0.5975,distributor
100000000089154100,входящие переводы от клиентов вне выборки,"отправил на 416 тыс больше, чем получил по данным — источник не виден",0.5934,distributor
100000005287097100,входящие переводы от клиентов вне выборки,"отправил на 570 тыс больше, чем получил по данным — источник не виден",0.5928,peripheral
100000003366154100,входящие переводы от клиентов вне выборки,"отправил на 164 тыс больше, чем получил по данным — источник не виден",0.5882,transit
100000001857829100,входящие переводы от клиентов вне выборки,"отправил на 1.5 млн больше, чем получил по данным — источник не виден",0.5853,distributor
100000002173161100,межбанковские переводы и снятие наличных,получил 1.4 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.5839,terminal
100000005778283100,межбанковские переводы и снятие наличных,получил 616 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5831,terminal
100000003404627100,межбанковские переводы и снятие наличных,получил 878 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5829,terminal
100000005578559100,входящие переводы от клиентов вне выборки,"отправил на 762 тыс больше, чем получил по данным — источник не виден",0.5811,distributor
100000002267998100,входящие переводы от клиентов вне выборки,"отправил на 695 тыс больше, чем получил по данным — источник не виден",0.5809,transit
100000003796063100,входящие переводы от клиентов вне выборки,"отправил на 924 тыс больше, чем получил по данным — источник не виден",0.5805,distributor
100000005074393100,входящие переводы от клиентов вне выборки,"отправил на 122 тыс больше, чем получил по данным — источник не виден",0.5795,peripheral
100000001411870100,межбанковские переводы и снятие наличных,получил 900 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5751,terminal
100000004390333100,входящие переводы от клиентов вне выборки,"отправил на 442 тыс больше, чем получил по данным — источник не виден",0.5749,peripheral
100000008466579100,входящие переводы от клиентов вне выборки,"отправил на 1.9 млн больше, чем получил по данным — источник не виден",0.5742,distributor
100000001162560100,входящие переводы от клиентов вне выборки,"отправил на 2.6 млн больше, чем получил по данным — источник не виден",0.5729,distributor
100000008413748100,входящие переводы от клиентов вне выборки,"отправил на 1.4 млн больше, чем получил по данным — источник не виден",0.5722,distributor
100000005782781100,входящие переводы от клиентов вне выборки,"отправил на 1.1 млн больше, чем получил по данным — источник не виден",0.5659,distributor
100000008547844100,входящие переводы от клиентов вне выборки,"отправил на 1.9 млн больше, чем получил по данным — источник не виден",0.5653,distributor
100000008636603100,входящие переводы от клиентов вне выборки,"отправил на 124 тыс больше, чем получил по данным — источник не виден",0.5555,peripheral
100000008193577100,входящие переводы от клиентов вне выборки,"отправил на 326 тыс больше, чем получил по данным — источник не виден",0.5547,peripheral
100000008710791100,входящие переводы от клиентов вне выборки,"отправил на 5.3 млн больше, чем получил по данным — источник не виден",0.5533,distributor
100000002718366100,межбанковские переводы и снятие наличных,получил 2.5 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.5489,consolidator
100000008137435100,входящие переводы от клиентов вне выборки,"отправил на 1.3 млн больше, чем получил по данным — источник не виден",0.5466,peripheral
100000000332284100,входящие переводы от клиентов вне выборки,"отправил на 182 тыс больше, чем получил по данным — источник не виден",0.5457,transit
100000008188026100,входящие переводы от клиентов вне выборки,"отправил на 252 тыс больше, чем получил по данным — источник не виден",0.5378,peripheral
100000008743913100,входящие переводы от клиентов вне выборки,"отправил на 1.7 млн больше, чем получил по данным — источник не виден",0.5348,distributor
100000002836736100,межбанковские переводы и снятие наличных,получил 509 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5343,terminal
100000004962193100,межбанковские переводы и снятие наличных,получил 900 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5328,consolidator
