gid,request,reason,priority_score,role
100000008730846100,входящие переводы от клиентов вне выборки,"отправил на 208 тыс больше, чем получил по данным — источник не виден",0.5307,transit
100000001072022100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.5282,terminal
100000001072022100,межбанковские переводы и снятие наличных,получил 1.7 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.5282,terminal
100000001463701100,межбанковские переводы и снятие наличных,получил 621 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5275,terminal
100000002731501100,входящие переводы от клиентов вне выборки,"отправил на 264 тыс больше, чем получил по данным — источник не виден",0.5268,peripheral
100000001929088100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.5259,terminal
100000008213966100,входящие переводы от клиентов вне выборки,"отправил на 250 тыс больше, чем получил по данным — источник не виден",0.5259,transit
100000002217161100,входящие переводы от клиентов вне выборки,"отправил на 590 тыс больше, чем получил по данным — источник не виден",0.5258,transit
100000008710843100,входящие переводы от клиентов вне выборки,"отправил на 2.0 млн больше, чем получил по данным — источник не виден",0.5257,distributor
100000005242320100,входящие переводы от клиентов вне выборки,"отправил на 8.6 млн больше, чем получил по данным — источник не виден",0.5255,distributor
100000002480800100,межбанковские переводы и снятие наличных,получил 569 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5232,terminal
100000006734214100,межбанковские переводы и снятие наличных,получил 610 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.5225,consolidator
100000008512827100,входящие переводы от клиентов вне выборки,"отправил на 1.8 млн больше, чем получил по данным — источник не виден",0.5217,distributor
100000008461532100,входящие переводы от клиентов вне выборки,"отправил на 2.0 млн больше, чем получил по данным — источник не виден",0.5206,transit
100000000274067100,входящие переводы от клиентов вне выборки,"отправил на 2.5 млн больше, чем получил по данным — источник не виден",0.5168,peripheral
100000003616818100,входящие переводы от клиентов вне выборки,"отправил на 162 тыс больше, чем получил по данным — источник не виден",0.513,peripheral
100000005527892100,входящие переводы от клиентов вне выборки,"отправил на 332 тыс больше, чем получил по данным — источник не виден",0.5117,peripheral
100000005612411100,входящие переводы от клиентов вне выборки,"отправил на 391 тыс больше, чем получил по данным — источник не виден",0.5098,peripheral
100000003880331100,входящие переводы от клиентов вне выборки,"отправил на 3.8 млн больше, чем получил по данным — источник не виден",0.5043,distributor
100000004527381100,входящие переводы от клиентов вне выборки,"отправил на 155 тыс больше, чем получил по данным — источник не виден",0.5019,transit
100000008144528100,межбанковские переводы и снятие наличных,получил 1.1 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.5005,consolidator
100000000267734100,входящие переводы от клиентов вне выборки,"отправил на 102 тыс больше, чем получил по данным — источник не виден",0.4997,peripheral
100000006579678100,входящие переводы от клиентов вне выборки,"отправил на 1.5 млн больше, чем получил по данным — источник не виден",0.4994,peripheral
100000001380054100,входящие переводы от клиентов вне выборки,"отправил на 233 тыс больше, чем получил по данным — источник не виден",0.4947,peripheral
100000002603769100,межбанковские переводы и снятие наличных,получил 1.2 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.4941,terminal
100000001567366100,межбанковские переводы и снятие наличных,получил 824 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.492,terminal
100000008172352100,входящие переводы от клиентов вне выборки,"отправил на 199 тыс больше, чем получил по данным — источник не виден",0.4918,peripheral
100000002939838100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4889,terminal
100000002939838100,межбанковские переводы и снятие наличных,получил 571 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.4889,terminal
100000002547110100,межбанковские переводы и снятие наличных,получил 1.5 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.4872,consolidator
100000007593823100,входящие переводы от клиентов вне выборки,"отправил на 138 тыс больше, чем получил по данным — источник не виден",0.4868,distributor
100000004017410100,входящие переводы от клиентов вне выборки,"отправил на 1.1 млн больше, чем получил по данным — источник не виден",0.4858,peripheral
100000004150593100,входящие переводы от клиентов вне выборки,"отправил на 814 тыс больше, чем получил по данным — источник не виден",0.4854,distributor
100000001303311100,межбанковские переводы и снятие наличных,получил 1.3 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.4819,consolidator
100000001527186100,межбанковские переводы и снятие наличных,получил 678 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.4808,terminal
100000005665181100,входящие переводы от клиентов вне выборки,"отправил на 136 тыс больше, чем получил по данным — источник не виден",0.4763,distributor
100000008517538100,входящие переводы от клиентов вне выборки,"отправил на 1.3 млн больше, чем получил по данным — источник не виден",0.476,distributor
100000003213473100,входящие переводы от клиентов вне выборки,"отправил на 182 тыс больше, чем получил по данным — источник не виден",0.4746,distributor
100000001965374100,входящие переводы от клиентов вне выборки,"отправил на 1.3 млн больше, чем получил по данным — источник не виден",0.4736,peripheral
100000004144536100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4697,terminal
100000005844459100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4642,terminal
100000007281639100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4635,terminal
100000003854444100,входящие переводы от клиентов вне выборки,"отправил на 2.1 млн больше, чем получил по данным — источник не виден",0.4602,distributor
100000001282143100,межбанковские переводы и снятие наличных,получил 1.7 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.46,consolidator
100000002306369100,входящие переводы от клиентов вне выборки,"отправил на 188 тыс больше, чем получил по данным — источник не виден",0.4599,peripheral
100000002645609100,межбанковские переводы и снятие наличных,получил 547 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.4598,terminal
100000008587459100,входящие переводы от клиентов вне выборки,"отправил на 505 тыс больше, чем получил по данным — источник не виден",0.458,peripheral
100000001677929100,входящие переводы от клиентов вне выборки,"отправил на 159 тыс больше, чем получил по данным — источник не виден",0.4534,peripheral
100000006977207100,входящие переводы от клиентов вне выборки,"отправил на 3.7 млн больше, чем получил по данным — источник не виден",0.4507,distributor
100000004677680100,входящие переводы от клиентов вне выборки,"отправил на 105 тыс больше, чем получил по данным — источник не виден",0.4483,peripheral
100000008731444100,входящие переводы от клиентов вне выборки,"отправил на 441 тыс больше, чем получил по данным — источник не виден",0.445,peripheral
100000004140487100,входящие переводы от клиентов вне выборки,"отправил на 238 тыс больше, чем получил по данным — источник не виден",0.4439,distributor
100000004480280100,входящие переводы от клиентов вне выборки,"отправил на 149 тыс больше, чем получил по данным — источник не виден",0.4422,peripheral
100000002175422100,входящие переводы от клиентов вне выборки,"отправил на 1.6 млн больше, чем получил по данным — источник не виден",0.4367,peripheral
100000003528285100,входящие переводы от клиентов вне выборки,"отправил на 429 тыс больше, чем получил по данным — источник не виден",0.4367,peripheral
100000008389800100,входящие переводы от клиентов вне выборки,"отправил на 213 тыс больше, чем получил по данным — источник не виден",0.4361,peripheral
100000005183943100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4342,terminal
100000005183943100,межбанковские переводы и снятие наличных,получил 681 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.4342,terminal
100000005316708100,входящие переводы от клиентов вне выборки,"отправил на 168 тыс больше, чем получил по данным — источник не виден",0.4338,peripheral
100000003835149100,входящие переводы от клиентов вне выборки,"отправил на 4.4 млн больше, чем получил по данным — источник не виден",0.4334,peripheral
100000002748532100,входящие переводы от клиентов вне выборки,"отправил на 291 тыс больше, чем получил по данным — источник не виден",0.4329,peripheral
100000002152857100,входящие переводы от клиентов вне выборки,"отправил на 1.1 млн больше, чем получил по данным — источник не виден",0.4315,peripheral
100000001526235100,входящие переводы от клиентов вне выборки,"отправил на 351 тыс больше, чем получил по данным — источник не виден",0.4286,peripheral
100000005664922100,входящие переводы от клиентов вне выборки,"отправил на 515 тыс больше, чем получил по данным — источник не виден",0.4284,peripheral
100000000490383100,входящие переводы от клиентов вне выборки,"отправил на 399 тыс больше, чем получил по данным — источник не виден",0.4279,peripheral
100000008758168100,входящие переводы от клиентов вне выборки,"отправил на 1.5 млн больше, чем получил по данным — источник не виден",0.4263,peripheral
100000008221543100,межбанковские переводы и снятие наличных,получил 542 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.4246,terminal
100000008752616100,входящие переводы от клиентов вне выборки,"отправил на 1.2 млн больше, чем получил по данным — источник не виден",0.4232,peripheral
100000001937767100,входящие переводы от клиентов вне выборки,"отправил на 1.9 млн больше, чем получил по данным — источник не виден",0.4222,peripheral
100000007594394100,входящие переводы от клиентов вне выборки,"отправил на 3.0 млн больше, чем получил по данным — источник не виден",0.4193,peripheral
100000007382543100,входящие переводы от клиентов вне выборки,"отправил на 209 тыс больше, чем получил по данным — источник не виден",0.4164,peripheral
100000002605308100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4109,terminal
100000002605308100,межбанковские переводы и снятие наличных,получил 2.6 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.4109,terminal
100000005140601100,входящие переводы от клиентов вне выборки,"отправил на 143 тыс больше, чем получил по данным — источник не виден",0.41,peripheral
100000004226848100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.4053,terminal
100000008603331100,входящие переводы от клиентов вне выборки,"отправил на 702 тыс больше, чем получил по данным — источник не виден",0.4049,peripheral
100000008628231100,входящие переводы от клиентов вне выборки,"отправил на 578 тыс больше, чем получил по данным — источник не виден",0.4042,peripheral
100000007864477100,входящие переводы от клиентов вне выборки,"отправил на 128 тыс больше, чем получил по данным — источник не виден",0.4038,peripheral
100000005634552100,входящие переводы от клиентов вне выборки,"отправил на 1.2 млн больше, чем получил по данным — источник не виден",0.4,peripheral
100000005034574100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3994,terminal
100000003457710100,входящие переводы от клиентов вне выборки,"отправил на 979 тыс больше, чем получил по данным — источник не виден",0.3984,transit
100000000913911100,входящие переводы от клиентов вне выборки,"отправил на 133 тыс больше, чем получил по данным — источник не виден",0.3971,peripheral
100000002784085100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3899,terminal
100000002733905100,входящие переводы от клиентов вне выборки,"отправил на 618 тыс больше, чем получил по данным — источник не виден",0.389,peripheral
100000007283257100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3884,terminal
100000008465789100,входящие переводы от клиентов вне выборки,"отправил на 1.8 млн больше, чем получил по данным — источник не виден",0.3882,distributor
100000001477796100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3867,terminal
100000002443664100,межбанковские переводы и снятие наличных,получил 557 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3844,terminal
100000003873332100,входящие переводы от клиентов вне выборки,"отправил на 263 тыс больше, чем получил по данным — источник не виден",0.3842,peripheral
100000003964910100,межбанковские переводы и снятие наличных,получил 1.0 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.3842,terminal
100000002849158100,входящие переводы от клиентов вне выборки,"отправил на 590 тыс больше, чем получил по данным — источник не виден",0.3812,peripheral
100000002748180100,входящие переводы от клиентов вне выборки,"отправил на 670 тыс больше, чем получил по данным — источник не виден",0.3809,peripheral
100000003134934100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3761,terminal
100000003111305100,межбанковские переводы и снятие наличных,получил 509 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3702,terminal
100000008460102100,входящие переводы от клиентов вне выборки,"отправил на 459 тыс больше, чем получил по данным — источник не виден",0.3662,distributor
100000005048668100,входящие переводы от клиентов вне выборки,"отправил на 143 тыс больше, чем получил по данным — источник не виден",0.3651,peripheral
100000002459832100,межбанковские переводы и снятие наличных,получил 881 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3645,terminal
100000007229557100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3588,terminal
100000007229557100,межбанковские переводы и снятие наличных,получил 878 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3588,terminal
100000001611488100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3561,terminal
100000001611488100,межбанковские переводы и снятие наличных,получил 779 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3561,terminal
100000003159641100,входящие переводы от клиентов вне выборки,"отправил на 134 тыс больше, чем получил по данным — источник не виден",0.3561,peripheral
100000008003034100,входящие переводы от клиентов вне выборки,"отправил на 123 тыс больше, чем получил по данным — источник не виден",0.356,peripheral
100000001875239100,межбанковские переводы и снятие наличных,получил 712 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3556,terminal
100000006240939100,входящие переводы от клиентов вне выборки,"отправил на 618 тыс больше, чем получил по данным — источник не виден",0.3532,peripheral
100000003001564100,входящие переводы от клиентов вне выборки,"отправил на 156 тыс больше, чем получил по данным — источник не виден",0.3526,peripheral
100000002793881100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3513,terminal
100000002793881100,межбанковские переводы и снятие наличных,получил 786 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3513,terminal
100000000413678100,входящие переводы от клиентов вне выборки,"отправил на 222 тыс больше, чем получил по данным — источник не виден",0.3479,peripheral
100000002956769100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3451,terminal
100000002956769100,межбанковские переводы и снятие наличных,получил 840 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3451,terminal
100000004587414100,межбанковские переводы и снятие наличных,получил 534 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3449,terminal
100000004722765100,входящие переводы от клиентов вне выборки,"отправил на 2.1 млн больше, чем получил по данным — источник не виден",0.3441,peripheral
100000004398811100,входящие переводы от клиентов вне выборки,"отправил на 615 тыс больше, чем получил по данным — источник не виден",0.3429,peripheral
100000004209339100,входящие переводы от клиентов вне выборки,"отправил на 100 тыс больше, чем получил по данным — источник не виден",0.3428,peripheral
100000002936322100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3427,terminal
100000002936322100,межбанковские переводы и снятие наличных,получил 787 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3427,terminal
100000002559089100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3407,terminal
100000002559089100,межбанковские переводы и снятие наличных,получил 715 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3407,terminal
100000007898453100,входящие переводы от клиентов вне выборки,"отправил на 295 тыс больше, чем получил по данным — источник не виден",0.3393,peripheral
100000008531133100,входящие переводы от клиентов вне выборки,"отправил на 133 тыс больше, чем получил по данным — источник не виден",0.339,peripheral
100000002872399100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3383,terminal
100000002872399100,межбанковские переводы и снятие наличных,получил 1.1 млн и почти не отдал внутри банка — возможен вывод за пределы банка,0.3383,terminal
100000002369874100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3381,terminal
100000002369874100,межбанковские переводы и снятие наличных,получил 600 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3381,terminal
100000002481974100,входящие переводы от клиентов вне выборки,"отправил на 229 тыс больше, чем получил по данным — источник не виден",0.3366,peripheral
100000003157679100,переводы за следующий месяц,вход в конце периода — деньги могли уйти дальше после выгрузки,0.3363,terminal
100000003157679100,межбанковские переводы и снятие наличных,получил 541 тыс и почти не отдал внутри банка — возможен вывод за пределы банка,0.3363,terminal
100000005958064100,входящие переводы от клиентов вне выборки,"отправил на 158 тыс больше, чем получил по данным — источник не виден",0.3359,peripheral
