gid,base_rank,mc_median,mc_p05,mc_p95,p_in_topK,p_in_top20,loso_keep
100000003115284100,1,1.0,1.0,3.0,1.0,1.0,1.0
100000004015047100,2,3.0,1.0,22.0,0.988,0.934,1.0
100000008165763100,3,3.0,1.0,25.09999999999991,0.99,0.932,0.9838709677419355
100000004070318100,4,5.0,2.0,21.0,1.0,0.948,1.0
100000008686313100,5,7.0,3.0,17.0,1.0,0.986,0.9838709677419355
100000008346837100,6,7.0,2.0,22.0,1.0,0.934,1.0
100000004707703100,7,9.0,3.0,38.0,0.972,0.788,0.9838709677419355
100000004135268100,8,11.0,4.0,23.0,1.0,0.91,0.9838709677419355
100000008304139100,9,10.0,4.0,24.0,1.0,0.904,1.0
100000004156082100,10,11.0,5.0,21.049999999999955,1.0,0.93,1.0
100000004351795100,11,13.0,5.0,30.0,1.0,0.782,1.0
100000003684369100,12,13.0,4.0,49.09999999999991,0.95,0.706,1.0
100000004299488100,13,12.0,5.0,44.0,0.968,0.768,0.9838709677419355
100000008603629100,14,14.0,4.950000000000003,40.049999999999955,0.982,0.706,1.0
100000000331309100,15,16.0,6.0,43.09999999999991,0.976,0.658,1.0
100000002838861100,16,20.0,7.0,55.049999999999955,0.938,0.526,1.0
100000004847758100,17,22.0,9.0,43.0,0.978,0.418,0.9838709677419355
100000007055802100,18,21.0,9.0,55.24999999999977,0.932,0.488,0.9838709677419355
100000007639767100,19,24.0,10.0,48.049999999999955,0.966,0.37,0.9838709677419355
100000001697501100,20,21.0,9.0,59.149999999999864,0.922,0.476,0.9838709677419355
100000001530983100,21,24.0,8.0,54.0,0.928,0.4,1.0
100000004071080100,22,23.0,10.0,61.049999999999955,0.924,0.404,0.9838709677419355
100000006866783100,23,24.0,7.950000000000003,60.0,0.898,0.428,1.0
100000005339662100,24,27.0,11.0,51.049999999999955,0.936,0.298,0.9838709677419355
100000003265158100,25,26.0,10.0,65.0,0.896,0.334,1.0
100000000437046100,26,27.0,12.0,57.0,0.922,0.336,1.0
100000008723830100,27,27.0,11.0,73.0,0.88,0.296,0.9838709677419355
100000005910114100,28,28.0,11.0,61.049999999999955,0.896,0.264,1.0
100000008477350100,29,29.5,13.0,58.0,0.894,0.262,1.0
100000004400305100,30,28.0,11.0,71.09999999999991,0.844,0.328,1.0
100000003016635100,31,29.0,15.0,64.0,0.884,0.204,1.0
100000008560717100,32,29.0,17.0,72.14999999999986,0.874,0.146,0.9838709677419355
100000008748914100,33,31.0,15.0,68.0,0.874,0.166,0.9838709677419355
100000007442518100,34,32.0,17.0,59.049999999999955,0.894,0.17,0.9838709677419355
100000003635170100,35,32.0,22.0,76.09999999999991,0.862,0.03,0.9838709677419355
100000008637537100,36,35.0,20.0,53.0,0.912,0.062,1.0
100000004759121100,37,41.0,30.0,84.14999999999986,0.74,0.0,0.9838709677419355
100000001732159100,38,47.0,27.0,69.0,0.6,0.006,0.9516129032258065
100000002398779100,39,44.0,22.0,106.29999999999973,0.634,0.03,1.0
100000005382566100,40,47.5,18.0,110.09999999999991,0.534,0.082,1.0
100000003004487100,41,47.0,34.0,95.09999999999991,0.62,0.0,0.9838709677419355
100000000343175100,42,47.0,33.0,100.0,0.588,0.0,0.9838709677419355
100000002723538100,43,49.0,27.0,89.0,0.55,0.002,0.967741935483871
100000005171642100,44,52.0,25.0,94.04999999999995,0.454,0.014,0.9838709677419355
100000002527114100,45,53.0,24.0,138.0999999999999,0.458,0.022,0.9838709677419355
100000002894076100,46,50.0,18.0,168.04999999999995,0.51,0.08,0.967741935483871
100000004403675100,47,60.0,11.0,148.04999999999995,0.408,0.11,0.9516129032258065
100000006972210100,48,57.0,11.0,188.04999999999995,0.446,0.124,0.9193548387096774
100000008512552100,49,56.0,29.0,110.0,0.394,0.0,0.9838709677419355
100000002224132100,50,59.0,25.0,110.0,0.342,0.02,0.7258064516129032
